match,predicted_winner,actual_winner,correct,rhythm_home,rhythm_away,common_pattern
Aston Villa FC vs Crystal Palace FC,Aston Villa FC,DRAW,False,-0.2,-0.4,WDL
Everton FC vs Brentford FC,Brentford FC,DRAW,False,0.0,0.2,W
Fulham FC vs Wolverhampton Wanderers FC,Fulham FC,Wolverhampton Wanderers FC,False,0.0,-0.2,LLD
Manchester City FC vs Tottenham Hotspur FC,Manchester City FC,Tottenham Hotspur FC,False,0.2,-0.2,WL
Southampton FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,-0.6,0.8,W
Ipswich Town FC vs Manchester United FC,Manchester United FC,DRAW,False,-0.4,0.2,LDW
Newcastle United FC vs West Ham United FC,DRAW,West Ham United FC,False,0.0,0.0,LW
Brighton & Hove Albion FC vs Southampton FC,Brighton & Hove Albion FC,DRAW,False,0.4,-0.6,LW
Brentford FC vs Leicester City FC,Brentford FC,Brentford FC,True,0.0,-0.4,WL
Crystal Palace FC vs Newcastle United FC,DRAW,DRAW,True,-0.2,-0.2,LW
Nottingham Forest FC vs Ipswich Town FC,Nottingham Forest FC,Nottingham Forest FC,True,0.2,-0.2,LL
Wolverhampton Wanderers FC vs AFC Bournemouth,Wolverhampton Wanderers FC,AFC Bournemouth,False,0.2,0.0,DW
West Ham United FC vs Arsenal FC,West Ham United FC,Arsenal FC,False,0.0,-0.2,LDW
Chelsea FC vs Aston Villa FC,Chelsea FC,Chelsea FC,True,0.2,-0.2,WD
Manchester United FC vs Everton FC,Manchester United FC,Manchester United FC,True,0.2,0.0,LD
Tottenham Hotspur FC vs Fulham FC,Tottenham Hotspur FC,DRAW,False,0.2,0.0,WL
Liverpool FC vs Manchester City FC,Liverpool FC,Liverpool FC,True,0.8,-0.2,WW
Ipswich Town FC vs Crystal Palace FC,Crystal Palace FC,Crystal Palace FC,True,-0.2,0.0,WDL
Leicester City FC vs West Ham United FC,West Ham United FC,Leicester City FC,False,-0.8,0.0,LD
Everton FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Everton FC,False,-0.4,0.2,DD
Manchester City FC vs Nottingham Forest FC,Nottingham Forest FC,Manchester City FC,False,-0.6,0.2,WLL
Newcastle United FC vs Liverpool FC,Liverpool FC,DRAW,False,0.0,0.8,WW
Southampton FC vs Chelsea FC,Chelsea FC,Chelsea FC,True,-0.4,0.6,W
Arsenal FC vs Manchester United FC,DRAW,Arsenal FC,False,0.2,0.2,LDW
Aston Villa FC vs Brentford FC,Brentford FC,Aston Villa FC,False,-0.6,0.4,D
Fulham FC vs Brighton & Hove Albion FC,DRAW,Fulham FC,False,0.2,0.2,WW
AFC Bournemouth vs Tottenham Hotspur FC,DRAW,AFC Bournemouth,False,0.0,0.0,WL
Aston Villa FC vs Southampton FC,DRAW,Aston Villa FC,False,-0.4,-0.4,LLDL
Brentford FC vs Newcastle United FC,Newcastle United FC,Brentford FC,False,0.0,0.2,WL
Crystal Palace FC vs Manchester City FC,Crystal Palace FC,DRAW,False,0.0,-0.6,L
Manchester United FC vs Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,False,0.2,-0.2,WL
Fulham FC vs Arsenal FC,DRAW,DRAW,True,0.4,0.4,LDW
Ipswich Town FC vs AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,True,-0.2,0.2,LL
Leicester City FC vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,DRAW,False,-0.4,0.0,DL
Tottenham Hotspur FC vs Chelsea FC,Chelsea FC,Chelsea FC,True,0.0,0.6,W
West Ham United FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,West Ham United FC,False,-0.4,0.0,WLL
Arsenal FC vs Everton FC,Arsenal FC,DRAW,False,0.6,-0.2,D
Liverpool FC vs Fulham FC,Liverpool FC,DRAW,False,0.8,0.2,WD
Newcastle United FC vs Leicester City FC,Newcastle United FC,Newcastle United FC,True,-0.2,-0.4,W
Wolverhampton Wanderers FC vs Ipswich Town FC,Wolverhampton Wanderers FC,Ipswich Town FC,False,-0.2,-0.4,LLL
Nottingham Forest FC vs Aston Villa FC,Aston Villa FC,Nottingham Forest FC,False,-0.2,0.0,LW
Brighton & Hove Albion FC vs Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC,False,0.2,0.0,WD
Manchester City FC vs Manchester United FC,Manchester United FC,Manchester United FC,True,-0.4,0.0,LL
Chelsea FC vs Brentford FC,Chelsea FC,Chelsea FC,True,0.8,0.4,DW
Southampton FC vs Tottenham Hotspur FC,Tottenham Hotspur FC,Tottenham Hotspur FC,True,-0.8,-0.4,DLL
AFC Bournemouth vs West Ham United FC,AFC Bournemouth,DRAW,False,0.2,0.0,LLW
Aston Villa FC vs Manchester City FC,Aston Villa FC,Aston Villa FC,True,0.0,-0.4,DL
Brentford FC vs Nottingham Forest FC,Nottingham Forest FC,Nottingham Forest FC,True,0.0,0.2,WLW
Ipswich Town FC vs Newcastle United FC,Newcastle United FC,Newcastle United FC,True,-0.4,-0.2,DL
West Ham United FC vs Brighton & Hove Albion FC,West Ham United FC,DRAW,False,0.0,-0.2,WD
Crystal Palace FC vs Arsenal FC,Arsenal FC,Arsenal FC,True,0.4,0.6,DD
Everton FC vs Chelsea FC,Chelsea FC,DRAW,False,0.0,1.0,W
Fulham FC vs Southampton FC,Fulham FC,DRAW,False,0.0,-0.8,LD
Leicester City FC vs Wolverhampton Wanderers FC,Leicester City FC,Wolverhampton Wanderers FC,False,-0.4,-0.6,LL
Manchester United FC vs AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,True,0.0,0.4,LW
Tottenham Hotspur FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,0.0,0.6,WD
Manchester City FC vs Everton FC,Everton FC,DRAW,False,-0.4,0.0,LWD
AFC Bournemouth vs Crystal Palace FC,AFC Bournemouth,DRAW,False,0.8,0.2,WDW
Chelsea FC vs Fulham FC,Chelsea FC,Fulham FC,False,0.8,0.2,WD
Newcastle United FC vs Aston Villa FC,DRAW,Newcastle United FC,False,0.2,0.2,LWW
Nottingham Forest FC vs Tottenham Hotspur FC,Nottingham Forest FC,Nottingham Forest FC,True,0.6,-0.4,WL
Southampton FC vs West Ham United FC,West Ham United FC,West Ham United FC,True,-0.6,-0.2,LL
Wolverhampton Wanderers FC vs Manchester United FC,Manchester United FC,Wolverhampton Wanderers FC,False,-0.6,-0.2,LLW
Liverpool FC vs Leicester City FC,Liverpool FC,Liverpool FC,True,0.6,-0.4,WD
Brighton & Hove Albion FC vs Brentford FC,Brentford FC,DRAW,False,-0.4,-0.2,L
Arsenal FC vs Ipswich Town FC,Arsenal FC,Arsenal FC,True,0.6,-0.6,W
Leicester City FC vs Manchester City FC,Manchester City FC,Manchester City FC,True,-0.4,-0.2,WDLL
Crystal Palace FC vs Southampton FC,Crystal Palace FC,Crystal Palace FC,True,0.2,-0.8,LD
Everton FC vs Nottingham Forest FC,Nottingham Forest FC,Nottingham Forest FC,True,0.0,0.6,LW
Fulham FC vs AFC Bournemouth,AFC Bournemouth,DRAW,False,0.4,0.6,WD
Tottenham Hotspur FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,DRAW,False,-0.6,-0.2,LLW
West Ham United FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,0.2,0.6,WDDW
Aston Villa FC vs Brighton & Hove Albion FC,Aston Villa FC,DRAW,False,0.2,-0.4,L
Ipswich Town FC vs Chelsea FC,Chelsea FC,Ipswich Town FC,False,-0.6,0.4,L
Manchester United FC vs Newcastle United FC,Newcastle United FC,Newcastle United FC,True,-0.6,0.4,LW
Brentford FC vs Arsenal FC,Arsenal FC,Arsenal FC,True,-0.4,0.6,W
Tottenham Hotspur FC vs Newcastle United FC,Newcastle United FC,Newcastle United FC,True,-0.4,0.6,LW
Southampton FC vs Brentford FC,Brentford FC,Brentford FC,True,-0.8,-0.4,LLDL
Crystal Palace FC vs Chelsea FC,Crystal Palace FC,DRAW,False,0.2,0.0,D
AFC Bournemouth vs Everton FC,AFC Bournemouth,AFC Bournemouth,True,0.4,0.0,WDD
Aston Villa FC vs Leicester City FC,Aston Villa FC,Aston Villa FC,True,0.0,-0.8,L
Manchester City FC vs West Ham United FC,West Ham United FC,Manchester City FC,False,-0.2,0.2,DW
Brighton & Hove Albion FC vs Arsenal FC,Arsenal FC,DRAW,False,-0.2,0.6,DD
Fulham FC vs Ipswich Town FC,Fulham FC,DRAW,False,0.2,-0.2,W
Liverpool FC vs Manchester United FC,Liverpool FC,DRAW,False,0.6,-0.6,W
Wolverhampton Wanderers FC vs Nottingham Forest FC,Nottingham Forest FC,Nottingham Forest FC,True,0.0,1.0,WW
West Ham United FC vs Fulham FC,Fulham FC,West Ham United FC,False,-0.2,0.2,DDW
Brentford FC vs Manchester City FC,Manchester City FC,DRAW,False,-0.4,0.0,LLD
Chelsea FC vs AFC Bournemouth,AFC Bournemouth,DRAW,False,-0.2,0.4,WD
Nottingham Forest FC vs Liverpool FC,Nottingham Forest FC,DRAW,False,1.0,0.6,WWW
Everton FC vs Aston Villa FC,Aston Villa FC,Aston Villa FC,True,-0.4,0.0,D
Leicester City FC vs Crystal Palace FC,Crystal Palace FC,Crystal Palace FC,True,-1.0,0.2,L
Newcastle United FC vs Wolverhampton Wanderers FC,Newcastle United FC,Newcastle United FC,True,1.0,0.0,WW
Arsenal FC vs Tottenham Hotspur FC,Arsenal FC,Arsenal FC,True,0.6,-0.4,D
Ipswich Town FC vs Brighton & Hove Albion FC,Ipswich Town FC,Brighton & Hove Albion FC,False,0.0,-0.2,L
Manchester United FC vs Southampton FC,Manchester United FC,Manchester United FC,True,-0.4,-0.8,LLL
Newcastle United FC vs AFC Bournemouth,Newcastle United FC,AFC Bournemouth,False,1.0,0.4,W
West Ham United FC vs Crystal Palace FC,Crystal Palace FC,Crystal Palace FC,True,0.0,0.2,DW
Leicester City FC vs Fulham FC,Fulham FC,Fulham FC,True,-1.0,0.0,L
Brentford FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,-0.2,0.6,WD
Arsenal FC vs Aston Villa FC,Arsenal FC,DRAW,False,0.8,0.4,WW
Manchester United FC vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,True,-0.4,0.2,DW
Nottingham Forest FC vs Southampton FC,Nottingham Forest FC,Nottingham Forest FC,True,0.8,-0.8,D
Everton FC vs Tottenham Hotspur FC,Everton FC,Everton FC,True,-0.6,-0.8,DLL
Ipswich Town FC vs Manchester City FC,Manchester City FC,Manchester City FC,True,-0.4,0.2,WD
Chelsea FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Chelsea FC,False,-0.4,0.0,DLL
Liverpool FC vs Ipswich Town FC,Liverpool FC,Liverpool FC,True,0.6,-0.4,WD
Wolverhampton Wanderers FC vs Arsenal FC,Arsenal FC,Arsenal FC,True,-0.4,0.6,WD
Brighton & Hove Albion FC vs Everton FC,Brighton & Hove Albion FC,Everton FC,False,0.4,-0.4,D
Southampton FC vs Newcastle United FC,Newcastle United FC,Newcastle United FC,True,-1.0,0.6,L
AFC Bournemouth vs Nottingham Forest FC,Nottingham Forest FC,AFC Bournemouth,False,0.4,0.8,WDW
Manchester City FC vs Chelsea FC,Manchester City FC,Manchester City FC,True,0.6,-0.2,DW
Crystal Palace FC vs Brentford FC,Crystal Palace FC,Brentford FC,False,0.6,-0.2,WD
Tottenham Hotspur FC vs Leicester City FC,Tottenham Hotspur FC,Leicester City FC,False,-0.8,-1.0,LLL
Aston Villa FC vs West Ham United FC,Aston Villa FC,DRAW,False,0.2,-0.2,L
Fulham FC vs Manchester United FC,Fulham FC,Manchester United FC,False,0.2,-0.4,W
Nottingham Forest FC vs Brighton & Hove Albion FC,Nottingham Forest FC,Nottingham Forest FC,True,0.4,0.2,WW
Newcastle United FC vs Fulham FC,Newcastle United FC,Fulham FC,False,0.6,-0.2,WL
Everton FC vs Leicester City FC,Everton FC,Everton FC,True,-0.2,-0.6,LLLW
AFC Bournemouth vs Liverpool FC,DRAW,Liverpool FC,False,0.6,0.6,DWW
Ipswich Town FC vs Southampton FC,Ipswich Town FC,Southampton FC,False,-0.4,-1.0,LLL
Wolverhampton Wanderers FC vs Aston Villa FC,Aston Villa FC,Wolverhampton Wanderers FC,False,-0.8,0.4,D
Manchester United FC vs Crystal Palace FC,Crystal Palace FC,Crystal Palace FC,True,0.0,0.4,DW
Brentford FC vs Tottenham Hotspur FC,Brentford FC,Tottenham Hotspur FC,False,0.0,-0.8,DL
Arsenal FC vs Manchester City FC,Manchester City FC,Arsenal FC,False,0.6,0.8,WDW
Chelsea FC vs West Ham United FC,Chelsea FC,Chelsea FC,True,-0.2,-0.4,LD
Everton FC vs Liverpool FC,Liverpool FC,DRAW,False,0.2,0.6,WWW
Brighton & Hove Albion FC vs Chelsea FC,Chelsea FC,Brighton & Hove Albion FC,False,0.0,0.2,DW
Leicester City FC vs Arsenal FC,Arsenal FC,Arsenal FC,True,-0.6,0.6,W
Southampton FC vs AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,True,-0.6,0.4,L
West Ham United FC vs Brentford FC,Brentford FC,Brentford FC,True,-0.4,0.0,LWL
Aston Villa FC vs Ipswich Town FC,Aston Villa FC,DRAW,False,0.2,-0.8,DL
Manchester City FC vs Newcastle United FC,Manchester City FC,Manchester City FC,True,0.4,0.2,WWL
Fulham FC vs Nottingham Forest FC,Nottingham Forest FC,Fulham FC,False,0.0,0.4,WLW
Crystal Palace FC vs Everton FC,DRAW,Everton FC,False,0.4,0.4,WW
Liverpool FC vs Wolverhampton Wanderers FC,Liverpool FC,Liverpool FC,True,0.6,-0.6,W
Tottenham Hotspur FC vs Manchester United FC,Manchester United FC,Tottenham Hotspur FC,False,-0.6,0.0,LW
Aston Villa FC vs Liverpool FC,Liverpool FC,DRAW,False,0.0,0.8,WD
Leicester City FC vs Brentford FC,Brentford FC,Brentford FC,True,-0.6,0.0,LWL
Everton FC vs Manchester United FC,Everton FC,DRAW,False,0.8,-0.2,W
Ipswich Town FC vs Tottenham Hotspur FC,Tottenham Hotspur FC,Tottenham Hotspur FC,True,-0.8,-0.2,LLL
Fulham FC vs Crystal Palace FC,DRAW,Crystal Palace FC,False,0.2,0.2,LWL
Arsenal FC vs West Ham United FC,Arsenal FC,West Ham United FC,False,0.8,-0.4,W
AFC Bournemouth vs Wolverhampton Wanderers FC,AFC Bournemouth,Wolverhampton Wanderers FC,False,0.4,-0.6,WL
Southampton FC vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,True,-0.6,0.2,LLW
Aston Villa FC vs Chelsea FC,Chelsea FC,Aston Villa FC,False,-0.2,0.0,D
Newcastle United FC vs Nottingham Forest FC,Nottingham Forest FC,Newcastle United FC,False,-0.2,0.0,WLWL
Manchester City FC vs Liverpool FC,Liverpool FC,Liverpool FC,True,0.4,0.6,DW
Brighton & Hove Albion FC vs AFC Bournemouth,DRAW,Brighton & Hove Albion FC,False,0.2,0.2,WL
Crystal Palace FC vs Aston Villa FC,Crystal Palace FC,Crystal Palace FC,True,0.2,0.0,W
Wolverhampton Wanderers FC vs Fulham FC,Fulham FC,Fulham FC,True,-0.2,0.2,WLW
Chelsea FC vs Southampton FC,Chelsea FC,Chelsea FC,True,-0.2,-0.6,LWLL
Nottingham Forest FC vs Arsenal FC,Arsenal FC,DRAW,False,-0.2,0.4,WL
Brentford FC vs Everton FC,Everton FC,DRAW,False,0.2,0.6,WW
Tottenham Hotspur FC vs Manchester City FC,DRAW,Manchester City FC,False,0.2,0.2,LW
Manchester United FC vs Ipswich Town FC,Manchester United FC,Manchester United FC,True,-0.4,-0.8,LLD
Liverpool FC vs Newcastle United FC,Liverpool FC,Liverpool FC,True,0.6,-0.2,W
West Ham United FC vs Leicester City FC,West Ham United FC,West Ham United FC,True,-0.4,-0.6,LL
Nottingham Forest FC vs Manchester City FC,Manchester City FC,Nottingham Forest FC,False,-0.4,0.2,LWL
Brighton & Hove Albion FC vs Fulham FC,DRAW,Brighton & Hove Albion FC,False,0.2,0.2,LWW
Crystal Palace FC vs Ipswich Town FC,Crystal Palace FC,Crystal Palace FC,True,0.2,-0.8,L
Liverpool FC vs Southampton FC,Liverpool FC,Liverpool FC,True,0.6,-0.6,W
Brentford FC vs Aston Villa FC,Brentford FC,Aston Villa FC,False,0.4,-0.2,WL
Wolverhampton Wanderers FC vs Everton FC,Everton FC,DRAW,False,-0.2,0.4,W
Tottenham Hotspur FC vs AFC Bournemouth,Tottenham Hotspur FC,DRAW,False,0.2,-0.2,LW
Chelsea FC vs Leicester City FC,Chelsea FC,Chelsea FC,True,-0.2,-0.6,WLL
Manchester United FC vs Arsenal FC,Arsenal FC,DRAW,False,0.0,0.4,WL
West Ham United FC vs Newcastle United FC,West Ham United FC,Newcastle United FC,False,0.0,-0.2,LLW
Everton FC vs West Ham United FC,Everton FC,DRAW,False,0.2,-0.2,W
Ipswich Town FC vs Nottingham Forest FC,Nottingham Forest FC,Nottingham Forest FC,True,-0.8,0.0,LD
Manchester City FC vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,DRAW,False,-0.2,0.6,LW
Southampton FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True,-0.6,0.0,WL
AFC Bournemouth vs Brentford FC,Brentford FC,Brentford FC,True,-0.4,0.0,LW
Arsenal FC vs Chelsea FC,DRAW,Arsenal FC,False,0.2,0.2,WW
Fulham FC vs Tottenham Hotspur FC,Tottenham Hotspur FC,Fulham FC,False,0.2,0.4,WWL
Leicester City FC vs Manchester United FC,Manchester United FC,Manchester United FC,True,-1.0,-0.2,LL
Arsenal FC vs Fulham FC,DRAW,Arsenal FC,False,0.2,0.2,WL
Wolverhampton Wanderers FC vs West Ham United FC,DRAW,Wolverhampton Wanderers FC,False,0.0,0.0,WLD
Nottingham Forest FC vs Manchester United FC,Manchester United FC,Nottingham Forest FC,False,0.0,0.2,LDW
AFC Bournemouth vs Ipswich Town FC,AFC Bournemouth,Ipswich Town FC,False,-0.4,-0.8,LL
Brighton & Hove Albion FC vs Aston Villa FC,Brighton & Hove Albion FC,Aston Villa FC,False,0.8,0.2,W
Manchester City FC vs Leicester City FC,Manchester City FC,Manchester City FC,True,0.0,-1.0,L
Newcastle United FC vs Brentford FC,Brentford FC,Newcastle United FC,False,-0.2,0.4,LW
Southampton FC vs Crystal Palace FC,Crystal Palace FC,DRAW,False,-1.0,0.6,L
Liverpool FC vs Everton FC,Liverpool FC,Liverpool FC,True,0.8,0.2,WD
Chelsea FC vs Tottenham Hotspur FC,Tottenham Hotspur FC,Chelsea FC,False,-0.2,0.0,WWL
Everton FC vs Arsenal FC,Arsenal FC,DRAW,False,-0.2,0.2,DD
Crystal Palace FC vs Brighton & Hove Albion FC,DRAW,Crystal Palace FC,False,0.4,0.4,WWWD
Ipswich Town FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True,-0.6,0.4,L
West Ham United FC vs AFC Bournemouth,West Ham United FC,DRAW,False,0.0,-0.8,LDL
Aston Villa FC vs Nottingham Forest FC,DRAW,Aston Villa FC,False,0.4,0.4,DW
Brentford FC vs Chelsea FC,Chelsea FC,DRAW,False,0.0,0.2,LW
Fulham FC vs Liverpool FC,Liverpool FC,Fulham FC,False,-0.2,0.8,W
Tottenham Hotspur FC vs Southampton FC,Tottenham Hotspur FC,Tottenham Hotspur FC,True,-0.4,-0.8,LD
Manchester United FC vs Manchester City FC,Manchester United FC,DRAW,False,0.2,0.0,DW
Leicester City FC vs Newcastle United FC,Newcastle United FC,Newcastle United FC,True,-1.0,0.2,L
Manchester City FC vs Crystal Palace FC,Crystal Palace FC,Manchester City FC,False,0.2,0.8,DW
Brighton & Hove Albion FC vs Leicester City FC,Brighton & Hove Albion FC,DRAW,False,0.0,-1.0,LL
Nottingham Forest FC vs Everton FC,Nottingham Forest FC,Everton FC,False,0.4,-0.2,D
Southampton FC vs Aston Villa FC,Aston Villa FC,Aston Villa FC,True,-0.8,0.6,L
Arsenal FC vs Brentford FC,Arsenal FC,DRAW,False,0.4,-0.2,D
Chelsea FC vs Ipswich Town FC,Chelsea FC,DRAW,False,0.4,-0.6,WL
Liverpool FC vs West Ham United FC,Liverpool FC,Liverpool FC,True,0.6,-0.2,WL
Wolverhampton Wanderers FC vs Tottenham Hotspur FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True,0.4,-0.4,LD
Newcastle United FC vs Manchester United FC,Newcastle United FC,Newcastle United FC,True,0.6,0.2,WL
AFC Bournemouth vs Fulham FC,Fulham FC,AFC Bournemouth,False,-0.6,0.2,L
Newcastle United FC vs Crystal Palace FC,Newcastle United FC,Newcastle United FC,True,0.6,0.4,WW
Brentford FC vs Brighton & Hove Albion FC,DRAW,Brentford FC,False,-0.2,-0.2,LD
Crystal Palace FC vs AFC Bournemouth,Crystal Palace FC,DRAW,False,0.0,-0.2,DW
Everton FC vs Manchester City FC,Manchester City FC,Manchester City FC,True,0.0,0.2,LDW
West Ham United FC vs Southampton FC,West Ham United FC,DRAW,False,-0.6,-0.8,LDL
Aston Villa FC vs Newcastle United FC,Newcastle United FC,Aston Villa FC,False,0.6,1.0,WWWW
Fulham FC vs Chelsea FC,Chelsea FC,Chelsea FC,True,-0.2,0.2,WLW
Ipswich Town FC vs Arsenal FC,Arsenal FC,Arsenal FC,True,-0.4,0.4,W
