match,predicted,actual,correct
Manchester United FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True
Leicester City FC vs Liverpool FC,Liverpool FC,Liverpool FC,True
Tottenham Hotspur FC vs Nottingham Forest FC,Nottingham Forest FC,Nottingham Forest FC,True
Manchester City FC vs Aston Villa FC,Aston Villa FC,Manchester City FC,False
Arsenal FC vs Crystal Palace FC,Arsenal FC,DRAW,False
Chelsea FC vs Everton FC,Chelsea FC,Chelsea FC,True
Brighton & Hove Albion FC vs West Ham United FC,West Ham United FC,Brighton & Hove Albion FC,False
Newcastle United FC vs Ipswich Town FC,Newcastle United FC,Newcastle United FC,True
Southampton FC vs Fulham FC,Fulham FC,Fulham FC,True
Wolverhampton Wanderers FC vs Leicester City FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,True
AFC Bournemouth vs Manchester United FC,AFC Bournemouth,DRAW,False
Liverpool FC vs Tottenham Hotspur FC,Liverpool FC,Liverpool FC,True
Nottingham Forest FC vs Brentford FC,DRAW,Brentford FC,False
Manchester City FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Manchester City FC,False
Aston Villa FC vs Fulham FC,Aston Villa FC,Aston Villa FC,True
Everton FC vs Ipswich Town FC,DRAW,DRAW,True
Leicester City FC vs Southampton FC,Southampton FC,Leicester City FC,False
Arsenal FC vs AFC Bournemouth,Arsenal FC,AFC Bournemouth,False
Brentford FC vs Manchester United FC,Brentford FC,Brentford FC,True
Brighton & Hove Albion FC vs Newcastle United FC,Newcastle United FC,DRAW,False
West Ham United FC vs Tottenham Hotspur FC,DRAW,DRAW,True
Chelsea FC vs Liverpool FC,DRAW,Chelsea FC,False
Crystal Palace FC vs Nottingham Forest FC,DRAW,DRAW,True
Fulham FC vs Everton FC,DRAW,Everton FC,False
Ipswich Town FC vs Brentford FC,Brentford FC,Brentford FC,True
Southampton FC vs Manchester City FC,Manchester City FC,DRAW,False
Wolverhampton Wanderers FC vs Brighton & Hove Albion FC,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,False
AFC Bournemouth vs Aston Villa FC,Aston Villa FC,Aston Villa FC,True
Newcastle United FC vs Chelsea FC,Chelsea FC,Newcastle United FC,False
Manchester United FC vs West Ham United FC,West Ham United FC,West Ham United FC,True
Nottingham Forest FC vs Leicester City FC,DRAW,DRAW,True
Tottenham Hotspur FC vs Crystal Palace FC,DRAW,Crystal Palace FC,False
Liverpool FC vs Arsenal FC,Liverpool FC,DRAW,False
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Aston Villa FC,True
Chelsea FC vs Manchester United FC,Chelsea FC,Chelsea FC,True
Everton FC vs Southampton FC,Everton FC,Everton FC,True
West Ham United FC vs Nottingham Forest FC,DRAW,Nottingham Forest FC,False
Brentford FC vs Fulham FC,Brentford FC,Fulham FC,False
Leicester City FC vs Ipswich Town FC,Leicester City FC,Leicester City FC,True
Arsenal FC vs Newcastle United FC,Newcastle United FC,Arsenal FC,False
Brighton & Hove Albion FC vs Liverpool FC,Liverpool FC,Brighton & Hove Albion FC,False
Crystal Palace FC vs Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Crystal Palace FC,False
Manchester City FC vs AFC Bournemouth,Manchester City FC,Manchester City FC,True
AFC Bournemouth vs Leicester City FC,Leicester City FC,AFC Bournemouth,False
Fulham FC vs Manchester City FC,Manchester City FC,Manchester City FC,True
Ipswich Town FC vs West Ham United FC,West Ham United FC,West Ham United FC,True
Liverpool FC vs Crystal Palace FC,Crystal Palace FC,DRAW,False
Manchester United FC vs Aston Villa FC,Aston Villa FC,Manchester United FC,False
Newcastle United FC vs Everton FC,DRAW,Everton FC,False
Nottingham Forest FC vs Chelsea FC,Chelsea FC,Chelsea FC,True
Southampton FC vs Arsenal FC,Arsenal FC,Arsenal FC,True
Tottenham Hotspur FC vs Brighton & Hove Albion FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,True
Wolverhampton Wanderers FC vs Brentford FC,Brentford FC,DRAW,False
