home,away,ft
Arizona Diamondbacks,Milwaukee Brewers,"[4, 10]"
Minnesota Twins,Atlanta Braves,"[4, 3]"
Washington Nationals,St.Louis Cardinals,"[1, 0]"
Tampa Bay Rays,Pittsburgh Pirates,"[3, 7]"
Detroit Tigers,Boston Red Sox,"[2, 1]"
Baltimore Orioles,Minnesota Twins,"[2, 7]"
Toronto Blue Jays,Philadelphia Phillies,"[5, 2]"
Chicago White Sox,Arizona Diamondbacks,"[5, 2]"
Texas Rangers,Los Angeles Angels,"[2, 3]"
Cincinnati Reds,Oakland Athletics,"[15, 8]"
San Diego Padres,Chicago Cubs,"[2, 1]"
Colorado Rockies,San Francisco Giants,"[12, 10]"
Miami Marlins,New York Yankees,"[2, 3]"
Philadelphia Phillies,Baltimore Orioles,"[2, 3]"
St.Louis Cardinals,Minnesota Twins,"[5, 4]"
Atlanta Braves,Detroit Tigers,"[3, 0]"
Boston Red Sox,Tampa Bay Rays,"[7, 4]"
Houston Astros,Miami Marlins,"[0, 2]"
Pittsburgh Pirates,Toronto Blue Jays,"[6, 5]"
New York Mets,New York Yankees,"[5, 4]"
San Francisco Giants,Milwaukee Brewers,"[13, 8]"
Cleveland Guardians,Seattle Mariners,"[4, 1]"
Arizona Diamondbacks,San Diego Padres,"[5, 3]"
Seattle Mariners,Texas Rangers,"[9, 10]"
Los Angeles Dodgers,Los Angeles Angels,"[0, 4]"
Kansas City Royals,Chicago Cubs,"[4, 0]"
New York Yankees,Tampa Bay Rays,"[3, 4]"
Minnesota Twins,Boston Red Sox,"[7, 1]"
Miami Marlins,Washington Nationals,"[3, 9]"
Chicago White Sox,Los Angeles Dodgers,"[9, 12]"
Kansas City Royals,Seattle Mariners,"[7, 8]"
Chicago Cubs,Los Angeles Angels,"[6, 5]"
Cincinnati Reds,Milwaukee Brewers,"[0, 2]"
Los Angeles Angels,Oakland Athletics,"[5, 12]"
San Diego Padres,Cincinnati Reds,"[2, 6]"
Colorado Rockies,Texas Rangers,"[6, 6]"
Milwaukee Brewers,Cleveland Guardians,"[3, 3]"
Baltimore Orioles,Pittsburgh Pirates,"[6, 4]"
St.Louis Cardinals,Houston Astros,"[3, 6]"
Tampa Bay Rays,Philadelphia Phillies,"[3, 2]"
Boston Red Sox,Atlanta Braves,"[2, 3]"
Chicago White Sox,Milwaukee Brewers,"[2, 8]"
Texas Rangers,Arizona Diamondbacks,"[7, 5]"
Seattle Mariners,Los Angeles Angels,"[5, 0]"
Detroit Tigers,Toronto Blue Jays,"[4, 5]"
New York Mets,Washington Nationals,"[3, 1]"
New York Yankees,Detroit Tigers,"[5, 11]"
Cincinnati Reds,Chicago Cubs,"[2, 2]"
Philadelphia Phillies,Houston Astros,"[6, 3]"
Atlanta Braves,Pittsburgh Pirates,"[6, 6]"
Pittsburgh Pirates,Minnesota Twins,"[6, 3]"
Toronto Blue Jays,New York Yankees,"[2, 1]"
Chicago Cubs,Seattle Mariners,"[9, 5]"
Texas Rangers,Kansas City Royals,"[2, 4]"
Cleveland Guardians,Chicago White Sox,"[2, 1]"
Los Angeles Angels,Colorado Rockies,"[8, 7]"
Arizona Diamondbacks,Chicago Cubs,"[7, 5]"
Milwaukee Brewers,Oakland Athletics,"[7, 4]"
Baltimore Orioles,Detroit Tigers,"[4, 3]"
Washington Nationals,St.Louis Cardinals,"[6, 7]"
Miami Marlins,New York Mets,"[1, 3]"
Oakland Athletics,Milwaukee Brewers,"[4, 5]"
Houston Astros,Washington Nationals,"[9, 4]"
Philadelphia Phillies,Toronto Blue Jays,"[5, 13]"
St.Louis Cardinals,New York Mets,"[3, 9]"
Minnesota Twins,New York Yankees,"[10, 7]"
Atlanta Braves,Baltimore Orioles,"[3, 10]"
Detroit Tigers,Pittsburgh Pirates,"[8, 5]"
Chicago Cubs,Colorado Rockies,"[5, 0]"
Kansas City Royals,Arizona Diamondbacks,"[6, 5]"
Los Angeles Dodgers,Texas Rangers,"[7, 1]"
San Francisco Giants,Oakland Athletics,"[5, 1]"
Cleveland Guardians,Los Angeles Angels,"[4, 5]"
San Diego Padres,Chicago White Sox,"[1, 1]"
Milwaukee Brewers,Seattle Mariners,"[5, 7]"
Arizona Diamondbacks,Cincinnati Reds,"[5, 7]"
Oakland Athletics,Milwaukee Brewers,"[4, 2]"
Tampa Bay Rays,Boston Red Sox,"[0, 4]"
Washington Nationals,Miami Marlins,"[1, 4]"
Minnesota Twins,Washington Nationals,"[3, 7]"
New York Yankees,Atlanta Braves,"[9, 8]"
Baltimore Orioles,Toronto Blue Jays,"[6, 6]"
Boston Red Sox,Tampa Bay Rays,"[7, 6]"
Houston Astros,Miami Marlins,"[0, 3]"
Pittsburgh Pirates,Philadelphia Phillies,"[7, 9]"
Toronto Blue Jays,Baltimore Orioles,"[6, 11]"
New York Mets,Detroit Tigers,"[2, 3]"
Miami Marlins,St.Louis Cardinals,"[8, 12]"
Texas Rangers,Chicago Cubs,"[1, 5]"
Los Angeles Dodgers,Arizona Diamondbacks,"[12, 1]"
San Francisco Giants,Chicago White Sox,"[5, 4]"
Oakland Athletics,Kansas City Royals,"[6, 3]"
Cincinnati Reds,Cleveland Guardians,"[5, 3]"
Los Angeles Angels,San Diego Padres,"[5, 4]"
Colorado Rockies,Milwaukee Brewers,"[3, 1]"
Seattle Mariners,San Francisco Giants,"[8, 3]"
New York Yankees,Baltimore Orioles,"[5, 3]"
Philadelphia Phillies,New York Yankees,"[1, 2]"
St.Louis Cardinals,Washington Nationals,"[4, 11]"
Atlanta Braves,Minnesota Twins,"[3, 0]"
Boston Red Sox,Pittsburgh Pirates,"[1, 0]"
Houston Astros,Detroit Tigers,"[3, 5]"
Tampa Bay Rays,Toronto Blue Jays,"[2, 9]"
Chicago White Sox,Colorado Rockies,"[2, 7]"
Kansas City Royals,San Francisco Giants,"[9, 12]"
Cleveland Guardians,Los Angeles Dodgers,"[5, 1]"
Los Angeles Angels,Texas Rangers,"[5, 15]"
Arizona Diamondbacks,Oakland Athletics,"[5, 6]"
Seattle Mariners,San Diego Padres,"[3, 13]"
New York Mets,Miami Marlins,"[0, 1]"
Detroit Tigers,Minnesota Twins,"[1, 0]"
Pittsburgh Pirates,Atlanta Braves,"[5, 1]"
Boston Red Sox,St.Louis Cardinals,"[6, 8]"
Baltimore Orioles,Tampa Bay Rays,"[12, 8]"
Toronto Blue Jays,New York Yankees,"[8, 1]"
Miami Marlins,Houston Astros,"[1, 9]"
Los Angeles Dodgers,San Francisco Giants,"[6, 4]"
Oakland Athletics,Seattle Mariners,"[4, 2]"
Texas Rangers,Cleveland Guardians,"[0, 3]"
San Diego Padres,Arizona Diamondbacks,"[2, 2]"
Colorado Rockies,Kansas City Royals,"[4, 2]"
Washington Nationals,New York Mets,"[4, 1]"
Cincinnati Reds,Chicago White Sox,"[1, 14]"
Chicago Cubs,Milwaukee Brewers,"[6, 5]"
Minnesota Twins,St.Louis Cardinals,"[1, 1]"
New York Yankees,Boston Red Sox,"[4, 9]"
Philadelphia Phillies,Detroit Tigers,"[4, 1]"
Tampa Bay Rays,Minnesota Twins,"[4, 3]"
Toronto Blue Jays,Pittsburgh Pirates,"[10, 3]"
Miami Marlins,Washington Nationals,"[1, 2]"
San Francisco Giants,Cincinnati Reds,"[11, 19]"
Kansas City Royals,Los Angeles Angels,"[3, 2]"
Los Angeles Dodgers,Seattle Mariners,"[1, 8]"
Cleveland Guardians,Chicago Cubs,"[3, 8]"
San Diego Padres,Oakland Athletics,"[12, 11]"
Arizona Diamondbacks,Colorado Rockies,"[5, 7]"
Milwaukee Brewers,Chicago White Sox,"[4, 15]"
Baltimore Orioles,Atlanta Braves,"[5, 7]"
New York Mets,Houston Astros,"[6, 5]"
Minnesota Twins,Toronto Blue Jays,"[1, 5]"
St.Louis Cardinals,New York Mets,"[0, 0]"
Philadelphia Phillies,Boston Red Sox,"[6, 1]"
Detroit Tigers,New York Yankees,"[7, 0]"
Atlanta Braves,Tampa Bay Rays,"[1, 3]"
Pittsburgh Pirates,Baltimore Orioles,"[2, 5]"
Chicago Cubs,Oakland Athletics,"[3, 1]"
Chicago White Sox,Los Angeles Angels,"[5, 1]"
Cleveland Guardians,Colorado Rockies,"[13, 7]"
Seattle Mariners,Milwaukee Brewers,"[4, 2]"
Arizona Diamondbacks,Kansas City Royals,"[0, 6]"
Washington Nationals,Houston Astros,"[5, 3]"
Texas Rangers,Cincinnati Reds,"[7, 4]"
Tampa Bay Rays,Baltimore Orioles,"[7, 2]"
Detroit Tigers,Atlanta Braves,"[6, 1]"
Toronto Blue Jays,Detroit Tigers,"[6, 9]"
Chicago White Sox,Chicago Cubs,"[3, 2]"
Kansas City Royals,Cleveland Guardians,"[1, 6]"
Houston Astros,Philadelphia Phillies,"[5, 3]"
Boston Red Sox,Minnesota Twins,"[8, 5]"
St.Louis Cardinals,Miami Marlins,"[4, 8]"
New York Mets,Washington Nationals,"[3, 7]"
New York Yankees,Pittsburgh Pirates,"[2, 6]"
Washington Nationals,St.Louis Cardinals,"[5, 8]"
Minnesota Twins,Tampa Bay Rays,"[6, 5]"
New York Yankees,Toronto Blue Jays,"[10, 9]"
Baltimore Orioles,Boston Red Sox,"[5, 4]"
Miami Marlins,Philadelphia Phillies,"[3, 3]"
San Francisco Giants,Cleveland Guardians,"[6, 0]"
Texas Rangers,Arizona Diamondbacks,"[4, 5]"
Chicago Cubs,Kansas City Royals,"[7, 6]"
Oakland Athletics,Milwaukee Brewers,"[4, 11]"
Chicago White Sox,San Francisco Giants,"[7, 11]"
Pittsburgh Pirates,Detroit Tigers,"[4, 6]"
Cincinnati Reds,Seattle Mariners,"[7, 11]"
Los Angeles Angels,Chicago Cubs,"[3, 4]"
Seattle Mariners,Chicago White Sox,"[8, 2]"
Milwaukee Brewers,Texas Rangers,"[5, 1]"
Colorado Rockies,Oakland Athletics,"[11, 9]"
Houston Astros,New York Mets,"[1, 6]"
Atlanta Braves,Pittsburgh Pirates,"[2, 4]"
Philadelphia Phillies,Toronto Blue Jays,"[5, 5]"
St.Louis Cardinals,Houston Astros,"[10, 6]"
Washington Nationals,New York Mets,"[9, 8]"
Detroit Tigers,Baltimore Orioles,"[4, 4]"
Pittsburgh Pirates,Tampa Bay Rays,"[8, 4]"
Boston Red Sox,New York Yankees,"[12, 6]"
Atlanta Braves,Boston Red Sox,"[3, 3]"
Baltimore Orioles,Atlanta Braves,"[8, 2]"
Toronto Blue Jays,Minnesota Twins,"[9, 4]"
New York Mets,Miami Marlins,"[7, 6]"
Chicago Cubs,Texas Rangers,"[8, 6]"
Oakland Athletics,Chicago White Sox,"[3, 3]"
San Francisco Giants,Colorado Rockies,"[3, 5]"
Seattle Mariners,Arizona Diamondbacks,"[4, 5]"
Arizona Diamondbacks,Los Angeles Angels,"[2, 0]"
Kansas City Royals,Milwaukee Brewers,"[4, 6]"
Cleveland Guardians,Cincinnati Reds,"[4, 2]"
Minnesota Twins,Boston Red Sox,"[5, 2]"
New York Yankees,Philadelphia Phillies,"[4, 3]"
Philadelphia Phillies,Pittsburgh Pirates,"[2, 11]"
Tampa Bay Rays,Atlanta Braves,"[7, 3]"
Miami Marlins,Houston Astros,"[6, 5]"
Chicago White Sox,Cleveland Guardians,"[5, 8]"
Texas Rangers,Seattle Mariners,"[5, 9]"
Milwaukee Brewers,Los Angeles Angels,"[4, 3]"
Arizona Diamondbacks,Oakland Athletics,"[3, 3]"
Houston Astros,Washington Nationals,"[1, 10]"
Cincinnati Reds,San Francisco Giants,"[2, 4]"
St.Louis Cardinals,Miami Marlins,"[11, 10]"
Boston Red Sox,Tampa Bay Rays,"[5, 2]"
Toronto Blue Jays,Baltimore Orioles,"[8, 13]"
Texas Rangers,Oakland Athletics,"[7, 7]"
Cleveland Guardians,Milwaukee Brewers,"[5, 8]"
Los Angeles Angels,Cincinnati Reds,"[10, 6]"
Seattle Mariners,Colorado Rockies,"[12, 3]"
Colorado Rockies,Cleveland Guardians,"[8, 8]"
Houston Astros,Miami Marlins,"[3, 3]"
Detroit Tigers,Philadelphia Phillies,"[0, 0]"
New York Mets,St.Louis Cardinals,"[3, 1]"
Chicago Cubs,Arizona Diamondbacks,"[1, 4]"
San Francisco Giants,Kansas City Royals,"[9, 8]"
San Diego Padres,Los Angeles Dodgers,"[2, 5]"
Minnesota Twins,Detroit Tigers,"[3, 12]"
Atlanta Braves,Toronto Blue Jays,"[10, 9]"
Miami Marlins,New York Mets,"[3, 6]"
Chicago White Sox,Cincinnati Reds,"[1, 3]"
Oakland Athletics,Chicago Cubs,"[3, 1]"
Cincinnati Reds,Texas Rangers,"[1, 8]"
Los Angeles Angels,San Francisco Giants,"[2, 5]"
Arizona Diamondbacks,Colorado Rockies,"[5, 1]"
Baltimore Orioles,Philadelphia Phillies,"[13, 4]"
Washington Nationals,St.Louis Cardinals,"[4, 13]"
New York Yankees,Pittsburgh Pirates,"[12, 0]"
Kansas City Royals,Los Angeles Angels,"[8, 8]"
Los Angeles Dodgers,San Diego Padres,"[11, 15]"
Philadelphia Phillies,Tampa Bay Rays,"[5, 6]"
St.Louis Cardinals,Houston Astros,"[1, 9]"
Washington Nationals,Minnesota Twins,"[9, 8]"
Detroit Tigers,New York Mets,"[5, 10]"
Atlanta Braves,New York Yankees,"[5, 2]"
Kansas City Royals,Chicago White Sox,"[3, 3]"
Cleveland Guardians,Kansas City Royals,"[8, 5]"
Colorado Rockies,Chicago Cubs,"[2, 5]"
Pittsburgh Pirates,Toronto Blue Jays,"[2, 3]"
Boston Red Sox,Baltimore Orioles,"[3, 2]"
Milwaukee Brewers,San Francisco Giants,"[6, 7]"
Seattle Mariners,Cincinnati Reds,"[7, 6]"
Philadelphia Phillies,Detroit Tigers,"[3, 4]"
New York Yankees,New York Mets,"[5, 3]"
Toronto Blue Jays,Boston Red Sox,"[5, 1]"
Chicago Cubs,San Francisco Giants,"[3, 7]"
Chicago White Sox,Oakland Athletics,"[8, 2]"
Oakland Athletics,Cincinnati Reds,"[8, 6]"
San Francisco Giants,Chicago Cubs,"[13, 12]"
Texas Rangers,Colorado Rockies,"[2, 3]"
Cleveland Guardians,Texas Rangers,"[10, 0]"
Los Angeles Angels,Chicago White Sox,"[2, 0]"
Arizona Diamondbacks,Seattle Mariners,"[3, 3]"
Milwaukee Brewers,Kansas City Royals,"[11, 5]"
Seattle Mariners,Milwaukee Brewers,"[4, 4]"
New York Yankees,Philadelphia Phillies,"[6, 6]"
St.Louis Cardinals,Washington Nationals,"[2, 2]"
Tampa Bay Rays,Baltimore Orioles,"[4, 6]"
Detroit Tigers,New York Yankees,"[11, 6]"
Pittsburgh Pirates,Boston Red Sox,"[4, 1]"
Atlanta Braves,Tampa Bay Rays,"[2, 5]"
Toronto Blue Jays,Detroit Tigers,"[7, 10]"
New York Mets,Houston Astros,"[5, 13]"
Oakland Athletics,Los Angeles Angels,"[11, 5]"
Kansas City Royals,Texas Rangers,"[1, 1]"
Chicago Cubs,Milwaukee Brewers,"[4, 7]"
Chicago White Sox,Seattle Mariners,"[2, 8]"
San Francisco Giants,Arizona Diamondbacks,"[5, 11]"
Cincinnati Reds,Colorado Rockies,"[6, 2]"
Arizona Diamondbacks,Cleveland Guardians,"[0, 5]"
Baltimore Orioles,Toronto Blue Jays,"[3, 2]"
Boston Red Sox,Minnesota Twins,"[8, 6]"
Washington Nationals,Miami Marlins,"[3, 5]"
Houston Astros,St.Louis Cardinals,"[9, 4]"
Minnesota Twins,Baltimore Orioles,"[3, 8]"
Philadelphia Phillies,Toronto Blue Jays,"[2, 0]"
Pittsburgh Pirates,New York Yankees,"[0, 1]"
Boston Red Sox,Atlanta Braves,"[5, 5]"
Detroit Tigers,Tampa Bay Rays,"[3, 2]"
New York Mets,Washington Nationals,"[10, 1]"
Miami Marlins,New York Mets,"[5, 1]"
Cincinnati Reds,Cleveland Guardians,"[7, 10]"
Milwaukee Brewers,Arizona Diamondbacks,"[14, 4]"
Colorado Rockies,Chicago White Sox,"[7, 3]"
Seattle Mariners,Chicago Cubs,"[9, 9]"
Los Angeles Dodgers,Los Angeles Angels,"[5, 3]"
Philadelphia Phillies,Tampa Bay Rays,"[3, 6]"
New York Yankees,New York Mets,"[3, 0]"
Atlanta Braves,Minnesota Twins,"[4, 0]"
Pittsburgh Pirates,Toronto Blue Jays,"[4, 3]"
Chicago Cubs,St.Louis Cardinals,"[3, 6]"
Milwaukee Brewers,Colorado Rockies,"[10, 1]"
Texas Rangers,Boston Red Sox,"[2, 9]"
Los Angeles Dodgers,Los Angeles Angels,"[0, 6]"
Arizona Diamondbacks,Cleveland Guardians,"[6, 0]"
Oakland Athletics,San Francisco Giants,"[1, 4]"
San Diego Padres,Seattle Mariners,"[1, 4]"
Tampa Bay Rays,Detroit Tigers,"[3, 3]"
Minnesota Twins,Atlanta Braves,"[9, 6]"
Texas Rangers,Boston Red Sox,"[1, 4]"
Chicago Cubs,St.Louis Cardinals,"[2, 7]"
Colorado Rockies,Milwaukee Brewers,"[6, 1]"
Arizona Diamondbacks,Cleveland Guardians,"[6, 1]"
San Diego Padres,Seattle Mariners,"[6, 7]"
San Francisco Giants,Oakland Athletics,"[1, 3]"
Los Angeles Angels,Los Angeles Dodgers,"[4, 3]"
Baltimore Orioles,Los Angeles Angels,"[11, 3]"
Tampa Bay Rays,Toronto Blue Jays,"[2, 8]"
San Diego Padres,San Francisco Giants,"[6, 4]"
Miami Marlins,Pittsburgh Pirates,"[5, 6]"
Los Angeles Dodgers,St.Louis Cardinals,"[7, 1]"
Kansas City Royals,Minnesota Twins,"[1, 4]"
Cincinnati Reds,Washington Nationals,"[8, 2]"
Chicago White Sox,Detroit Tigers,"[0, 1]"
Houston Astros,New York Yankees,"[4, 5]"
Texas Rangers,Chicago Cubs,"[4, 3]"
Oakland Athletics,Cleveland Guardians,"[0, 8]"
Arizona Diamondbacks,Colorado Rockies,"[16, 1]"
Seattle Mariners,Boston Red Sox,"[4, 6]"
New York Mets,Milwaukee Brewers,"[1, 3]"
Philadelphia Phillies,Atlanta Braves,"[3, 9]"
Tampa Bay Rays,Toronto Blue Jays,"[8, 2]"
Miami Marlins,Pittsburgh Pirates,"[2, 7]"
Houston Astros,New York Yankees,"[1, 7]"
Arizona Diamondbacks,Colorado Rockies,"[7, 3]"
Oakland Athletics,Cleveland Guardians,"[4, 6]"
San Diego Padres,San Francisco Giants,"[3, 8]"
Seattle Mariners,Boston Red Sox,"[1, 0]"
Los Angeles Dodgers,St.Louis Cardinals,"[6, 3]"
New York Mets,Milwaukee Brewers,"[6, 7]"
Chicago White Sox,Detroit Tigers,"[6, 7]"
Philadelphia Phillies,Atlanta Braves,"[4, 12]"
Baltimore Orioles,Los Angeles Angels,"[13, 4]"
Oakland Athletics,Cleveland Guardians,"[3, 12]"
Cincinnati Reds,Washington Nationals,"[6, 7]"
Kansas City Royals,Minnesota Twins,"[1, 5]"
Miami Marlins,Pittsburgh Pirates,"[3, 9]"
Tampa Bay Rays,Toronto Blue Jays,"[5, 1]"
Texas Rangers,Chicago Cubs,"[11, 2]"
Houston Astros,New York Yankees,"[3, 5]"
San Diego Padres,San Francisco Giants,"[6, 9]"
Arizona Diamondbacks,Colorado Rockies,"[4, 9]"
Los Angeles Dodgers,St.Louis Cardinals,"[5, 6]"
Seattle Mariners,Boston Red Sox,"[4, 3]"
Baltimore Orioles,Los Angeles Angels,"[1, 4]"
Philadelphia Phillies,Atlanta Braves,"[5, 4]"
Cincinnati Reds,Washington Nationals,"[6, 5]"
Miami Marlins,Pittsburgh Pirates,"[7, 9]"
New York Mets,Milwaukee Brewers,"[1, 4]"
Tampa Bay Rays,Toronto Blue Jays,"[2, 9]"
Chicago White Sox,Detroit Tigers,"[2, 3]"
Kansas City Royals,Minnesota Twins,"[11, 0]"
